paperid,R_sources,R_methods,R_experiments,R_sinks,R_c,R_s,R,r_c1_sources_consumed,r_c2_sinks_produced,r_c3_inputs_resolved,r_c4_source_sink_reachability,r_c5_lwcc,n_sources,n_methods,n_experiments,n_sinks,R_0_4
2020_09_article,0.250000,0.875000,0.875000,0.800000,0.665000,0.975000,0.805217,1.000000,1.000000,1.000000,0.833333,1.000000,2,2,2,3,3.415652
2020_10_article,0.166667,0.925000,0.780000,0.771429,0.622429,0.925564,0.759011,1.000000,1.000000,1.000000,0.714286,0.789474,3,4,5,7,3.277032
2020_11_article,0.250000,0.800000,0.770000,0.800000,0.629000,0.749167,0.686459,0.666667,1.000000,1.000000,0.333333,0.550000,3,6,5,6,3.059377
2020_12_article,0.000000,,0.900000,0.762500,0.510937,0.858333,0.662235,1.000000,1.000000,1.000000,0.500000,0.555556,2,0,3,4,2.986704
2020_13_article,0.850000,0.900000,0.925000,0.816667,0.865000,0.855833,0.860404,1.000000,0.833333,1.000000,0.366667,0.950000,5,5,4,6,3.581213
2020_14_article,0.083333,0.750000,0.862500,0.783333,0.582500,0.680000,0.629365,0.333333,1.000000,1.000000,0.277778,0.700000,6,4,4,6,2.888094
2020_15_article,0.250000,0.525000,0.800000,0.762500,0.568750,1.000000,0.754155,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,4,4,3.262465
2020_16_article,0.437500,0.812500,0.700000,0.850000,0.688750,0.778571,0.732285,0.500000,1.000000,1.000000,0.500000,0.857143,4,4,2,4,3.196854
2020_17_article,0.214286,0.700000,0.750000,0.730000,0.573286,0.934962,0.732121,0.857143,1.000000,1.000000,0.857143,0.947368,7,2,5,5,3.196362
2020_18_article,0.225000,0.550000,0.791667,0.737500,0.557083,0.841389,0.684634,1.000000,1.000000,1.000000,0.350000,0.592593,10,3,6,8,3.053902
2020_19_article,0.250000,0.866667,1.000000,0.800000,0.688333,0.950000,0.808651,1.000000,1.000000,1.000000,0.666667,1.000000,2,3,3,9,3.425953
2020_20_article,0.166667,0.662500,0.966667,0.837500,0.627083,1.000000,0.791886,1.000000,1.000000,1.000000,1.000000,1.000000,3,4,3,4,3.375658
2020_21_article,0.750000,0.721429,0.875000,0.566667,0.714286,1.000000,0.845154,1.000000,1.000000,1.000000,1.000000,1.000000,8,7,2,6,3.535463
2020_22_article,0.000000,0.920000,0.925000,0.772727,0.600818,0.927512,0.746503,1.000000,1.000000,1.000000,0.727273,0.789474,1,5,2,11,3.239508
2020_23_article,0.000000,0.875000,0.950000,0.800000,0.605000,1.000000,0.777817,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,4,4,3.333452
2020_24_article,0.416667,0.825000,0.700000,0.800000,0.670000,0.856667,0.757606,0.666667,1.000000,1.000000,0.666667,0.933333,3,4,3,5,3.272818
2020_25_article,0.666667,0.775000,0.775000,0.716667,0.725000,0.966667,0.837158,1.000000,1.000000,1.000000,0.777778,1.000000,3,6,2,3,3.511474
2020_26_article,1.000000,0.950000,1.000000,0.950000,0.975000,0.925000,0.949671,1.000000,1.000000,1.000000,0.500000,1.000000,1,2,1,2,3.849013
2020_27_article,1.000000,0.900000,1.000000,0.896875,0.949063,1.000000,0.974198,1.000000,1.000000,1.000000,1.000000,1.000000,1,5,13,16,3.922595
2020_28_article,0.416667,0.850000,0.900000,0.600000,0.655000,1.000000,0.809321,1.000000,1.000000,1.000000,1.000000,1.000000,3,4,1,3,3.427962
2020_29_article,1.000000,0.916667,0.800000,0.885714,0.909048,0.840446,0.874074,0.800000,1.000000,1.000000,0.457143,0.812500,5,3,1,7,3.622223
2020_30_article,0.666667,0.825000,0.300000,0.700000,0.635000,0.957143,0.779606,1.000000,1.000000,1.000000,0.714286,1.000000,3,4,1,7,3.338818
2020_31_article,,0.325000,0.825000,0.750000,0.650000,0.600000,0.624500,0.000000,1.000000,1.000000,0.000000,1.000000,0,2,4,4,2.873499
2020_32_article,0.000000,0.875000,1.000000,0.716667,0.590000,0.925000,0.738749,1.000000,1.000000,1.000000,0.500000,1.000000,2,4,2,9,3.216247
2020_33_article,0.000000,0.875000,0.900000,0.600000,0.535000,1.000000,0.731437,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,1,1,3.194311
2020_34_article,0.250000,0.716667,0.900000,0.775000,0.630833,0.925000,0.763885,1.000000,1.000000,1.000000,0.500000,1.000000,1,3,1,4,3.291656
2020_36_article,0.750000,0.850000,0.910000,0.828571,0.825571,0.989286,0.903729,1.000000,1.000000,1.000000,0.928571,1.000000,4,3,5,7,3.711187
2020_37_article,0.125000,0.750000,0.550000,0.790000,0.534500,0.798182,0.653168,1.000000,1.000000,1.000000,0.200000,0.454545,2,2,2,5,2.959503
2020_38_article,0.000000,0.900000,0.950000,0.400000,0.490000,1.000000,0.700000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,1,1,3.100000
2020_39_article,,0.625000,0.740000,0.200000,0.475714,0.600000,0.534255,0.000000,1.000000,1.000000,0.000000,1.000000,0,2,5,5,2.602765
2020_40_article,0.250000,0.670000,0.850000,0.700000,0.589000,0.962500,0.752936,1.000000,1.000000,1.000000,0.750000,1.000000,2,5,1,2,3.258808
2021_01_article,0.850000,0.466667,0.783333,0.791667,0.742500,0.919706,0.826367,1.000000,1.000000,1.000000,0.700000,0.764706,5,3,3,6,3.479100
2021_02_article,0.083333,0.825000,0.780000,0.742857,0.568857,0.811765,0.679543,1.000000,1.000000,1.000000,0.333333,0.411765,3,2,5,7,3.038628
2021_03_article,0.400000,1.000000,0.656250,0.766667,0.681250,0.752609,0.716041,1.000000,1.000000,1.000000,0.133333,0.217391,5,1,8,9,3.148123
2021_04_article,0.625000,0.710000,0.666667,0.725000,0.680333,1.000000,0.824823,1.000000,1.000000,1.000000,1.000000,1.000000,4,5,6,6,3.474470
2021_05_article,0.500000,0.800000,0.787500,0.800000,0.707500,0.885000,0.791289,1.000000,1.000000,1.000000,0.233333,1.000000,6,2,4,5,3.373866
2021_06_article,1.000000,0.900000,0.937500,0.780000,0.901500,0.877500,0.889419,1.000000,1.000000,1.000000,0.533333,0.650000,6,5,4,5,3.668257
2021_07_article,1.000000,0.266667,0.800000,0.800000,0.753333,1.000000,0.867948,1.000000,1.000000,1.000000,1.000000,1.000000,6,3,1,1,3.603843
2021_08_article,0.250000,0.983333,1.000000,0.728571,0.690238,0.978571,0.821856,1.000000,1.000000,1.000000,0.857143,1.000000,6,6,4,7,3.465568
2021_09_article,0.250000,0.870000,0.850000,0.866667,0.679000,0.910625,0.786330,0.800000,1.000000,1.000000,0.800000,0.937500,5,5,3,3,3.358989
2021_10_article,0.350000,0.616667,0.864286,0.756250,0.628065,0.891655,0.748343,1.000000,1.000000,1.000000,0.575000,0.702703,5,9,7,16,3.245030
2021_11_article,0.250000,0.966667,0.925000,0.710000,0.666333,1.000000,0.816292,1.000000,1.000000,1.000000,1.000000,1.000000,4,3,6,5,3.448877
2021_12_article,0.250000,0.830000,0.928571,0.742857,0.649571,0.834322,0.736174,1.000000,1.000000,1.000000,0.366071,0.529412,8,5,7,14,3.208522
2021_13_article,0.200000,0.850000,0.790000,0.750000,0.613000,0.855000,0.723958,1.000000,1.000000,1.000000,0.500000,0.533333,5,3,5,2,3.171874
2021_14_article,0.000000,0.833333,0.843750,0.745000,0.558917,0.960000,0.732503,1.000000,1.000000,1.000000,0.733333,1.000000,3,3,8,10,3.197508
2021_15_article,0.357143,0.712500,0.925000,0.825000,0.682143,0.739850,0.710411,0.428571,1.000000,1.000000,0.428571,0.789474,7,4,4,4,3.131232
2021_16_article,0.850000,0.580000,0.800000,0.866667,0.791000,1.000000,0.889382,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,2,6,3.668145
2021_17_article,0.250000,0.850000,0.900000,0.822222,0.671667,1.000000,0.819553,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,4,9,3.458658
2021_18_article,0.000000,0.916667,0.912500,0.722222,0.582500,0.921429,0.732620,1.000000,1.000000,1.000000,0.666667,0.809524,5,3,4,9,3.197860
2021_19_article,0.666667,0.950000,0.900000,0.866667,0.830000,0.855128,0.842470,0.666667,1.000000,1.000000,0.666667,0.923077,3,4,3,3,3.527411
2021_20_article,0.000000,0.583333,0.833333,0.637500,0.474583,1.000000,0.688900,1.000000,1.000000,1.000000,1.000000,1.000000,4,3,3,12,3.066700
2021_21_article,0.250000,0.800000,0.866667,0.830000,0.657333,0.860000,0.751869,1.000000,1.000000,1.000000,0.400000,0.666667,3,1,6,5,3.255606
2021_22_article,0.204545,1.000000,0.942857,0.764286,0.679221,0.874838,0.770849,0.727273,1.000000,1.000000,0.727273,0.892857,11,3,7,7,3.312546
2021_23_article,0.250000,0.512500,0.687500,0.750000,0.540000,0.831250,0.669981,1.000000,1.000000,1.000000,0.375000,0.500000,2,4,4,4,3.009944
2021_25_article,,0.900000,0.892857,0.835714,0.870408,0.600000,0.722665,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,7,7,3.167995
2021_26_article,,0.800000,0.800000,0.841667,0.817857,0.253333,0.455182,0.000000,0.833333,0.000000,0.000000,0.300000,0,1,3,6,2.365545
2021_27_article,0.125000,0.675000,0.950000,0.750000,0.587500,0.895000,0.725129,1.000000,1.000000,1.000000,0.500000,0.800000,2,2,8,8,3.175388
2021_28_article,1.000000,0.812500,0.875000,0.916667,0.912500,0.958333,0.935136,1.000000,1.000000,1.000000,0.722222,1.000000,3,4,4,6,3.805408
2021_29_article,0.083333,0.750000,0.900000,0.860714,0.613214,0.720290,0.664599,0.333333,1.000000,1.000000,0.333333,0.913043,3,1,5,14,2.993797
2021_30_article,0.083333,0.875000,0.987500,0.818182,0.642955,0.718333,0.679600,0.333333,1.000000,1.000000,0.333333,0.900000,3,2,4,11,3.038799
2021_31_article,0.250000,0.950000,0.800000,0.750000,0.650000,0.783333,0.713559,0.500000,1.000000,1.000000,0.500000,0.888889,2,3,1,3,3.140677
2021_32_article,1.000000,0.875000,0.880769,0.792105,0.888785,0.803278,0.844950,1.000000,0.684211,1.000000,0.442105,0.772727,10,2,13,19,3.534851
2021_33_article,0.000000,0.625000,0.800000,0.730000,0.504000,1.000000,0.709930,1.000000,1.000000,1.000000,1.000000,1.000000,1,2,1,5,3.129789
2021_34_article,,0.650000,0.900000,0.750000,0.764286,0.600000,0.677179,0.000000,1.000000,1.000000,0.000000,1.000000,0,2,3,3,3.031537
2022_02_article,0.204545,0.687500,0.937500,0.733333,0.606364,0.811932,0.701659,0.909091,1.000000,1.000000,0.272727,0.625000,11,8,4,9,3.104978
2022_03_article,0.250000,0.900000,0.880000,0.741667,0.653500,0.972222,0.797087,1.000000,1.000000,1.000000,0.814815,1.000000,9,6,5,6,3.391260
2022_04_article,0.250000,0.737500,0.900000,0.800000,0.642500,0.860855,0.743707,0.750000,1.000000,1.000000,0.541667,0.947368,4,4,5,6,3.231120
2022_05_article,0.204545,0.550000,0.666667,0.768750,0.535322,0.801477,0.655018,0.909091,1.000000,1.000000,0.261364,0.566667,11,5,6,8,2.965054
2022_06_article,1.000000,0.625000,0.750000,0.766667,0.805000,1.000000,0.897218,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,2,3,3.691654
2022_07_article,0.625000,0.920000,1.000000,0.787500,0.807750,1.000000,0.898749,1.000000,1.000000,1.000000,1.000000,1.000000,4,5,4,4,3.696247
2022_08_article,0.350000,0.700000,0.816667,0.800000,0.648333,0.913182,0.769445,0.800000,1.000000,1.000000,0.800000,0.954545,5,4,3,10,3.308336
2022_09_article,0.250000,1.000000,0.841667,0.793750,0.681458,0.887500,0.777685,1.000000,1.000000,1.000000,0.250000,1.000000,4,1,6,8,3.333056
2022_10_article,0.031250,0.625000,0.816667,0.758333,0.525208,0.942857,0.703702,0.875000,1.000000,1.000000,0.875000,0.952381,8,4,3,6,3.111106
2022_11_article,0.250000,0.916667,0.937500,0.811111,0.689167,1.000000,0.830161,1.000000,1.000000,1.000000,1.000000,1.000000,2,3,4,9,3.490482
2022_12_article,0.229167,1.000000,0.800000,0.800000,0.668750,0.884091,0.768919,1.000000,1.000000,1.000000,0.227273,1.000000,12,1,7,11,3.306756
2022_13_article,0.464286,0.775000,0.771429,0.738889,0.670238,0.919048,0.784844,1.000000,1.000000,1.000000,0.460317,1.000000,7,4,7,9,3.354533
2022_14_article,0.600000,0.787500,0.816667,0.883333,0.765833,1.000000,0.875119,1.000000,1.000000,1.000000,1.000000,1.000000,5,4,6,6,3.625357
2022_15_article,0.250000,0.400000,0.750000,0.700000,0.515000,0.896825,0.679607,1.000000,0.777778,1.000000,0.777778,0.904762,5,3,4,9,3.038820
2022_16_article,0.250000,0.757143,0.800000,0.833333,0.636429,0.714583,0.674375,0.333333,1.000000,1.000000,0.333333,0.875000,3,7,3,3,3.023124
2022_17_article,0.250000,0.575000,0.870000,0.850000,0.619000,0.939298,0.762512,1.000000,1.000000,1.000000,0.769231,0.826087,3,2,5,13,3.287537
2022_18_article,0.325000,0.283333,0.937500,0.771429,0.573095,0.828750,0.689168,0.800000,1.000000,1.000000,0.400000,0.791667,10,3,4,7,3.067504
2022_19_article,1.000000,0.625000,0.600000,0.750000,0.770000,1.000000,0.877496,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,1,2,3.632489
2022_20_article,0.850000,0.500000,0.562500,0.866667,0.727500,0.897143,0.807881,1.000000,1.000000,1.000000,0.600000,0.714286,5,2,4,3,3.423642
2022_21_article,0.250000,0.400000,0.750000,0.694444,0.513333,0.896825,0.678506,1.000000,0.777778,1.000000,0.777778,0.904762,5,3,4,9,3.035518
2022_22_article,1.000000,0.675000,0.500000,0.750000,0.760000,1.000000,0.871780,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,1,2,3.615339
2022_23_article,0.000000,0.837500,0.900000,0.887500,0.613750,0.775000,0.689678,1.000000,1.000000,1.000000,0.250000,0.250000,4,4,4,4,3.069035
2022_24_article,0.750000,,0.800000,0.850000,0.800000,0.871429,0.834951,1.000000,1.000000,1.000000,0.500000,0.642857,6,0,6,2,3.504852
2022_25_article,1.000000,0.775000,0.950000,0.800000,0.885000,1.000000,0.940744,1.000000,1.000000,1.000000,1.000000,1.000000,6,2,2,7,3.822233
2022_26_article,0.250000,0.912500,0.866667,0.855556,0.687500,1.000000,0.829156,1.000000,1.000000,1.000000,1.000000,1.000000,3,4,3,9,3.487469
2022_27_article,0.250000,0.608333,0.300000,0.850000,0.511667,1.000000,0.715309,1.000000,1.000000,1.000000,1.000000,1.000000,3,6,2,12,3.145926
2022_28_article,1.000000,0.675000,0.500000,0.750000,0.760000,1.000000,0.871780,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,1,2,3.615339
2022_29_article,1.000000,0.625000,0.750000,0.766667,0.805000,1.000000,0.897218,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,2,3,3.691654
2022_30_article,0.250000,0.883333,0.950000,0.771875,0.673229,0.995982,0.818855,1.000000,1.000000,1.000000,0.973214,1.000000,7,3,6,16,3.456566
2022_31_article,0.166667,0.450000,0.350000,0.750000,0.435000,0.837500,0.603583,1.000000,1.000000,1.000000,0.333333,0.583333,3,3,4,2,2.810749
2022_32_article,0.750000,,0.800000,0.825000,0.790625,0.871429,0.830044,1.000000,1.000000,1.000000,0.500000,0.642857,6,0,6,2,3.490132
2022_33_article,1.000000,0.100000,0.580000,0.750000,0.661000,0.906250,0.773971,1.000000,1.000000,1.000000,0.375000,1.000000,4,4,5,6,3.321913
2022_34_article,0.250000,0.925000,0.933333,0.716667,0.661667,0.950000,0.792832,1.000000,1.000000,1.000000,0.666667,1.000000,2,6,6,6,3.378497
2022_35_article,0.035714,0.750000,0.766667,0.760000,0.542048,0.856429,0.681341,0.714286,1.000000,1.000000,0.585714,0.933333,7,4,9,10,3.044022
2022_36_article,0.250000,0.925000,0.950000,0.757143,0.677143,0.898214,0.779884,1.000000,1.000000,1.000000,0.321429,1.000000,4,4,4,7,3.339653
2022_37_article,1.000000,0.825000,0.912500,0.743750,0.870625,1.000000,0.933073,1.000000,1.000000,1.000000,1.000000,1.000000,3,6,4,8,3.799219
2022_38_article,1.000000,1.000000,0.937500,0.800000,0.927500,0.827083,0.875854,1.000000,1.000000,1.000000,0.291667,0.555556,8,3,4,3,3.627561
2022_39_article,0.325000,0.950000,0.950000,0.850000,0.732500,0.699670,0.715897,0.400000,1.000000,1.000000,0.228571,0.769231,10,5,4,7,3.147691
2022_40_article,1.000000,0.900000,0.850000,0.835714,0.900714,0.965714,0.932648,1.000000,1.000000,1.000000,0.771429,1.000000,5,4,5,7,3.797945
2022_41_article,0.294118,0.450000,0.850000,0.792857,0.586092,0.572059,0.579033,0.117647,1.000000,1.000000,0.117647,0.500000,17,2,4,7,2.737099
2022_42_article,0.250000,0.400000,0.750000,0.700000,0.515000,0.896825,0.679607,1.000000,0.777778,1.000000,0.777778,0.904762,5,3,4,9,3.038820
2022_43_article,1.000000,0.420000,0.675000,0.750000,0.744000,1.000000,0.862554,1.000000,1.000000,1.000000,1.000000,1.000000,2,5,2,2,3.587663
2022_44_article,0.250000,0.600000,0.758333,0.811111,0.590000,1.000000,0.768115,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,6,9,3.304344
2022_45_article,0.125000,0.737500,0.850000,0.721429,0.571429,0.986607,0.750850,1.000000,1.000000,1.000000,0.910714,1.000000,8,4,4,7,3.252550
2022_46_article,0.250000,0.800000,0.762500,0.672727,0.589318,0.902500,0.729287,1.000000,1.000000,1.000000,0.500000,0.850000,2,3,4,11,3.187861
2022_47_article,0.375000,0.566667,1.000000,0.840000,0.677833,0.892105,0.777624,0.750000,1.000000,1.000000,0.750000,0.947368,4,6,4,5,3.332871
2022_48_article,0.250000,,0.875000,0.825000,0.621875,0.906250,0.750716,1.000000,1.000000,1.000000,0.375000,1.000000,4,0,6,8,3.252147
2022_49_article,,0.900000,0.900000,0.850000,0.878571,0.600000,0.726046,0.000000,1.000000,1.000000,0.000000,1.000000,0,3,1,1,3.178138
2022_50_article,,0.900000,0.910000,0.842857,0.878367,0.600000,0.725962,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,5,7,3.177885
2022_51_article,0.250000,0.500000,0.678571,0.900000,0.580714,0.875000,0.712829,1.000000,1.000000,1.000000,0.166667,1.000000,4,3,7,6,3.138487
2022_52_article,,0.683333,0.825000,0.637500,0.704167,0.559091,0.627450,0.000000,1.000000,1.000000,0.000000,0.727273,0,3,4,4,2.882349
2022_53_article,,0.800000,0.800000,0.766667,0.785714,0.600000,0.686607,0.000000,1.000000,1.000000,0.000000,1.000000,0,1,4,6,3.059820
2022_54_article,0.625000,0.833333,1.000000,0.820000,0.800167,1.000000,0.894520,1.000000,1.000000,1.000000,1.000000,1.000000,2,3,4,5,3.683561
2023_01_article,1.000000,0.825000,0.720000,0.950000,0.894000,0.803846,0.847725,1.000000,1.000000,1.000000,0.000000,0.692308,2,2,5,4,3.543176
2023_02_article,0.625000,1.000000,0.916667,0.821429,0.817262,0.761161,0.788713,0.500000,1.000000,1.000000,0.428571,0.812500,2,1,6,7,3.366138
2023_03_article,0.500000,0.733333,0.775000,0.713636,0.665758,0.717273,0.691035,1.000000,0.454545,1.000000,0.424242,0.600000,3,3,2,22,3.073106
2023_04_article,0.500000,0.941667,0.950000,0.733333,0.748333,0.910625,0.825500,0.800000,1.000000,1.000000,0.800000,0.937500,5,6,2,3,3.476501
2023_06_article,0.333333,1.000000,0.810000,0.845455,0.715636,0.799432,0.756375,1.000000,1.000000,1.000000,0.287879,0.375000,6,2,5,11,3.269124
2023_07_article,0.416667,0.940000,0.837500,0.875000,0.743000,0.658333,0.699387,0.333333,0.833333,1.000000,0.277778,0.833333,3,5,4,6,3.098160
2023_08_article,0.437500,1.000000,0.914286,0.820000,0.760107,0.915000,0.833965,1.000000,1.000000,1.000000,0.433333,1.000000,4,5,7,15,3.501896
2023_09_article,0.343750,0.916667,1.000000,0.866667,0.746458,0.771429,0.758841,0.500000,1.000000,1.000000,0.500000,0.809524,8,6,1,6,3.276522
2023_10_article,0.531250,,0.783333,0.662500,0.643490,0.791832,0.713818,1.000000,1.000000,1.000000,0.203125,0.409091,8,0,6,8,3.141453
2023_11_article,0.000000,0.780000,0.716667,0.700000,0.509333,0.900000,0.677052,1.000000,1.000000,1.000000,0.500000,0.833333,2,5,3,2,3.031157
2023_12_article,0.250000,0.880000,0.880000,0.750000,0.652000,1.000000,0.807465,1.000000,1.000000,1.000000,1.000000,1.000000,4,5,5,5,3.422396
2023_13_article,0.250000,0.725000,0.783333,0.775000,0.609167,0.985938,0.774984,1.000000,1.000000,1.000000,0.906250,1.000000,8,4,3,4,3.324952
2023_14_article,0.000000,0.912500,0.916667,0.730000,0.584833,1.000000,0.764744,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,3,5,3.294232
2023_15_article,0.437500,1.000000,0.914286,0.823333,0.761107,0.915000,0.834514,1.000000,1.000000,1.000000,0.433333,1.000000,4,5,7,15,3.503541
2023_16_article,1.000000,0.575000,0.775000,0.750000,0.795000,1.000000,0.891628,1.000000,1.000000,1.000000,1.000000,1.000000,4,6,4,4,3.674883
