paper;score_Sources;score_Methods;score_Experiments;score_Sinks;confidence_Sources;confidence_Methods;confidence_Experiments;confidence_Sinks
2020_39_article.pdf;1;2;1;2;80;75;85;80
2020_40_article.pdf;3;2;1;3;90;80;70;95
2021_01_article.pdf;2;2;1;1;85;80;75;70
2021_02_article.pdf;3;1;1;3;90;90;90;95
2021_03_article.pdf;2;1;1;2;90;85;85;80
2021_04_article.pdf;1;2;2;3;90;85;90;95
2021_05_article.pdf;3;1;1;2;90;85;85;85
2021_06_article.pdf;2;1;1;3;90;95;95;95
2021_07_article.pdf;3;1;1;1;95;95;95;95
2021_08_article.pdf;2;1;1;1;80;60;60;70
2021_09_article.pdf;3;2;1;2;95;80;75;85
2021_10_article.pdf;3;1;2;3;95;85;80;95
2021_11_article.pdf;3;1;1;1;95;85;85;80
2021_12_article.pdf;3;2;3;3;95;85;90;90
2021_13_article.pdf;3;2;2;1;95;80;75;85
2021_14_article.pdf;3;2;2;2;95;80;75;80
2021_15_article.pdf;3;2;2;3;95;85;90;95
2021_16_article.pdf;3;1;2;3;95;85;80;90
2021_17_article.pdf;3;2;2;3;95;85;85;95
2021_18_article.pdf;2;2;2;1;85;80;75;85
2021_19_article.pdf;1;1;3;3;85;85;95;95
2021_20_article.pdf;2;1;1;3;85;80;80;95
2021_21_article.pdf;3;2;2;3;95;85;85;95
2021_22_article.pdf;2;1;1;1;90;95;95;95
2021_23_article.pdf;3;2;2;3;95;80;80;95
2021_25_article.pdf;3;1;1;2;95;85;80;90
2021_26_article.pdf;2;3;1;2;85;90;80;85
2021_27_article.pdf;3;1;1;2;95;90;90;85
2021_28_article.pdf;3;3;3;3;100;95;95;100
2021_29_article.pdf;0;0;0;0;100;100;100;100
2021_30_article.pdf;3;3;3;3;95;90;95;90
2021_31_article.pdf;2;1;1;3;90;85;80;95
2021_32_article.pdf;3;2;3;2;95;80;90;85
2021_33_article.pdf;2;3;3;3;95;95;95;95
2021_34_article.pdf;3;3;3;3;95;95;90;95
2022_02_article.pdf;3;1;1;1;95;80;80;80
2022_03_article.pdf;2;1;2;3;85;85;85;90
2022_04_article.pdf;2;1;1;3;90;90;90;95
2022_05_article.pdf;2;1;1;1;90;90;90;90
2022_06_article.pdf;1;1;1;1;90;90;90;90
2022_07_article.pdf;3;1;1;1;95;80;80;90
2022_08_article.pdf;3;1;1;0;95;90;90;95
2022_09_article.pdf;3;2;3;3;95;90;95;95
2022_10_article.pdf;3;2;1;2;95;80;75;85
2022_11_article.pdf;3;1;2;1;95;85;80;90
2022_12_article.pdf;1;2;1;2;90;90;90;90
2022_13_article.pdf;2;1;1;2;85;75;70;90
2022_14_article.pdf;3;1;1;1;95;85;85;80
2022_15_article.pdf;1;1;1;2;90;90;90;85
2022_16_article.pdf;2;2;2;3;90;85;85;95
2022_17_article.pdf;2;2;2;3;85;80;80;90
2022_18_article.pdf;3;3;2;2;95;90;80;85
2022_19_article.pdf;1;1;1;2;90;85;85;90
2022_20_article.pdf;2;1;1;3;85;80;75;90
2022_21_article.pdf;3;1;1;1;95;70;70;75
2022_22_article.pdf;1;1;1;1;90;95;95;90
2022_23_article.pdf;3;3;3;3;95;95;95;90
2022_24_article.pdf;2;3;1;3;85;90;80;90
2022_25_article.pdf;2;1;2;3;90;85;90;95
2022_26_article.pdf;3;1;2;3;95;85;80;90
2022_27_article.pdf;2;2;2;3;90;85;80;95
2022_28_article.pdf;2;1;1;1;90;90;90;90
2022_29_article.pdf;2;1;1;1;90;85;85;80
2022_30_article.pdf;3;1;1;2;95;95;90;90
2022_31_article.pdf;3;2;3;3;100;75;90;100
2022_32_article.pdf;2;1;1;2;80;75;75;85
2022_33_article.pdf;2;1;1;1;90;85;85;90
2022_34_article.pdf;2;3;1;1;85;95;70;70
2022_35_article.pdf;3;1;1;3;95;85;85;95
2022_36_article.pdf;3;2;2;3;95;80;80;95
2022_37_article.pdf;1;2;1;2;85;85;80;90
2022_38_article.pdf;1;1;1;1;90;90;90;90
2022_39_article.pdf;3;1;2;1;95;80;85;75
2022_40_article.pdf;2;1;2;3;85;60;75;95
2022_41_article.pdf;3;1;2;3;95;90;85;95
2022_42_article.pdf;3;0;1;1;95;100;95;90
2022_43_article.pdf;2;1;1;1;90;90;90;90
2022_44_article.pdf;3;3;2;1;95;90;80;90
2022_45_article.pdf;3;1;1;2;95;90;90;85
2022_46_article.pdf;3;2;1;2;95;85;85;85
2022_47_article.pdf;3;1;2;2;90;90;90;90
2022_48_article.pdf;3;2;2;2;95;85;80;80
2022_49_article.pdf;3;3;2;3;95;90;85;95
2022_50_article.pdf;3;2;1;2;95;85;80;85
2022_51_article.pdf;1;1;1;1;90;90;90;90
2022_52_article.pdf;3;1;2;3;95;90;85;95
2022_53_article.pdf;2;1;1;1;90;90;90;90
2022_54_article.pdf;1;1;1;0;85;80;85;95
2023_01_article.pdf;3;3;3;3;95;90;90;95
2023_02_article.pdf;3;1;1;2;95;90;90;85
2023_03_article.pdf;2;1;1;1;85;90;85;90
2023_04_article.pdf;3;1;1;2;95;85;85;90
2023_06_article.pdf;3;3;2;2;95;90;85;85
2023_07_article.pdf;3;2;2;3;95;85;85;95
2023_08_article.pdf;3;3;2;2;95;90;85;85
2023_09_article.pdf;3;1;1;1;95;85;90;90
2023_10_article.pdf;3;2;2;3;95;85;80;95
2023_11_article.pdf;1;2;2;3;90;85;85;95
2023_12_article.pdf;3;1;1;1;95;90;90;90
2023_13_article.pdf;2;1;1;1;90;90;90;90
2023_14_article.pdf;2;2;2;2;90;85;85;90
2023_15_article.pdf;3;2;2;3;95;80;75;95
2023_16_article.pdf;3;2;1;1;95;80;75;70
2023_17_article.pdf;2;1;1;2;90;85;85;90
2023_18_article.pdf;2;1;1;3;85;80;85;95
2023_19_article.pdf;2;1;2;2;85;75;80;85
2023_20_article.pdf;3;1;1;2;95;80;80;85
2023_21_article.pdf;3;3;2;3;95;90;85;90
2023_22_article.pdf;2;2;2;2;85;80;80;85
2023_23_article.pdf;3;1;1;3;95;80;80;95
2023_24_article.pdf;3;1;1;2;95;70;65;75
2023_25_article.pdf;2;3;2;2;90;95;85;85
2023_26_article.pdf;1;1;1;1;90;95;95;90
2023_27_article.pdf;3;2;1;2;95;85;80;90
2023_28_article.pdf;3;2;3;3;95;90;95;95
2023_29_article.pdf;2;0;1;3;90;95;90;90
2023_30_article.pdf;3;1;1;2;95;70;70;85
2023_31_article.pdf;1;1;1;1;85;80;80;85
2023_32_article.pdf;3;1;1;1;90;50;50;50
2023_33_article.pdf;3;1;1;1;95;90;90;90
2023_34_article.pdf;3;1;2;3;95;70;80;95
2023_35_article.pdf;2;3;2;3;85;95;80;95
2023_36_article.pdf;1;1;1;1;90;90;90;90
2023_37_article.pdf;3;1;2;3;95;70;85;95
2023_38_article.pdf;3;2;2;1;95;80;75;70
2023_39_article.pdf;2;1;1;3;90;90;85;95
2023_40_article.pdf;3;3;2;3;95;95;85;90
2023_41_article.pdf;3;1;2;3;95;80;85;95
2023_42_article.pdf;1;1;1;1;70;70;70;70
2023_43_article.pdf;1;1;1;1;85;80;75;70
2023_44_article.pdf;3;2;2;3;95;85;85;95
2023_45_article.pdf;3;3;2;3;95;95;85;90
2023_46_article.pdf;1;1;1;1;90;90;90;90
2023_47_article.pdf;1;2;1;1;80;75;70;75
2023_48_article.pdf;3;2;2;2;95;80;75;70
2023_49_article.pdf;1;2;1;3;85;90;90;95
2023_50_article.pdf;3;1;1;1;90;95;95;95
2025_02_article.pdf;3;1;1;1;95;85;85;80
2025_03_article.pdf;2;1;3;3;90;85;95;95
2025_04_article.pdf;3;2;2;2;95;80;75;70
2025_05_article.pdf;2;1;1;1;90;85;85;80
2025_06_article.pdf;2;1;1;1;90;85;90;85
2026_01_article.pdf;3;1;1;1;95;90;90;90
2026_02_article.pdf;1;2;1;3;100;90;95;95
